"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
723,128,"LBY","Libya",1,"Ajdabiya","","Aghdabiya","Sha'biyat|Sha'biyah","Municipality|Governarate"
724,128,"LBY","Libya",2,"Al Butnan","","Tobruk|Tubruq","Sha'biyat|Sha'biyah","Municipality|Governarate"
725,128,"LBY","Libya",3,"Al Hizam Al Akhdar","","al-Hizam al-Ahdar","Sha'biyat|Sha'biyah","Municipality|Governarate"
726,128,"LBY","Libya",4,"Al Jabal al Akhdar","","Al Bayda'|al-Ghabal al-Ahdar|Beida|Djebel Akhdar|Jebel el Akhdar","Sha'biyat|Sha'biyah","Municipality|Governarate"
727,128,"LBY","Libya",5,"Al Jifarah","","Al Jfara|Al `Aziziyah|al-Ghifara|Al `Aziziyah","Sha'biyat|Sha'biyah","Municipality|Governarate"
728,128,"LBY","Libya",6,"Al Jufrah","","al-Ghufra","Sha'biyat|Sha'biyah","Municipality|Governarate"
729,128,"LBY","Libya",7,"Al Kufrah","","al-Kufra","Sha'biyat|Sha'biyah","Municipality|Governarate"
730,128,"LBY","Libya",8,"Al Marj","","Al' Fatih, al-Margh","Sha'biyat|Sha'biyah","Municipality|Governarate"
731,128,"LBY","Libya",9,"Al Marqab","","Al Murgub|Al Khums|Homs|Khoms","Sha'biyat|Sha'biyah","Municipality|Governarate"
732,128,"LBY","Libya",10,"Al Qubbah","","Al Qubah|al-Qubba","Sha'biyat|Sha'biyah","Municipality|Governarate"
733,128,"LBY","Libya",11,"Al Wahah","","Al Wahat","Sha'biyat|Sha'biyah","Municipality|Governarate"
734,128,"LBY","Libya",12,"An Nuqat al Khams","","an-Niqat al-Hams|Nigat al Khums","Sha'biyat|Sha'biyah","Municipality|Governarate"
735,128,"LBY","Libya",13,"Ash Shati'","","Wadi Al Shatii|Shati|Wadi ash-Shati'","Sha'biyat|Sha'biyah","Municipality|Governarate"
736,128,"LBY","Libya",14,"Az Zawiyah","","az-Zawiya|Zavia|Zawia","Sha'biyat|Sha'biyah","Municipality|Governarate"
737,128,"LBY","Libya",15,"Bani Walid","","Sawfajjin","Sha'biyat|Sha'biyah","Municipality|Governarate"
738,128,"LBY","Libya",16,"Benghazi","","Banghazi|Bengasi","Sha'biyat|Sha'biyah","Municipality|Governarate"
739,128,"LBY","Libya",17,"Darnah","","Darana|Darna|Derna","Sha'biyat|Sha'biyah","Municipality|Governarate"
740,128,"LBY","Libya",18,"Ghadamis","","Gadamis|Ghadames","Sha'biyat|Sha'biyah","Municipality|Governarate"
741,128,"LBY","Libya",19,"Gharyan","","Al Jabal al Gharbi, Garyan, Gharian, Jabal al Gharb, Jebel el Gharb","Sha'biyat|Sha'biyah","Municipality|Governarate"
742,128,"LBY","Libya",20,"Ghat","","Gat","Sha'biyat|Sha'biyah","Municipality|Governarate"
743,128,"LBY","Libya",21,"Misratah","","Misrata, Misurata","Sha'biyat|Sha'biyah","Municipality|Governarate"
744,128,"LBY","Libya",22,"Mizdah","","Mizda","Sha'biyat|Sha'biyah","Municipality|Governarate"
745,128,"LBY","Libya",23,"Murzuq","","","Sha'biyat|Sha'biyah","Municipality|Governarate"
746,128,"LBY","Libya",24,"Nalut","","","Sha'biyat|Sha'biyah","Municipality|Governarate"
747,128,"LBY","Libya",25,"Sabha","","Sabhah, Sebha","Sha'biyat|Sha'biyah","Municipality|Governarate"
748,128,"LBY","Libya",26,"Sabratah Surman","","Sabratha Wa Surman|Sabrata wa-Surman","Sha'biyat|Sha'biyah","Municipality|Governarate"
749,128,"LBY","Libya",27,"Surt","","Sirte","Sha'biyat|Sha'biyah","Municipality|Governarate"
750,128,"LBY","Libya",28,"Tajura' wa an Nawahi al Arba","","Taghura' wa-n-Nawahi al-Arba","Sha'biyat|Sha'biyah","Municipality|Governarate"
751,128,"LBY","Libya",29,"Tarabulus","","Tripoli|Tripolis","Sha'biyat|Sha'biyah","Municipality|Governarate"
752,128,"LBY","Libya",30,"Tarhunah-Masallatah","","Tarhunah|Tarhuna wa-Masallata","Sha'biyat|Sha'biyah","Municipality|Governarate"
753,128,"LBY","Libya",31,"Wadi Al Hayat","","Wadi Al Hayaa","Sha'biyat|Sha'biyah","Municipality|Governarate"
754,128,"LBY","Libya",32,"Yafran-Jadu","","Yafran","Sha'biyat|Sha'biyah","Municipality|Governarate"
